Indigo Dying,"Albert, Susan Wittig",1/03-- 7.1,7.1
Chile Death,"Albert, Susan Wittig",3/99-- 6.5,6.5
Hangman's Root,"Albert, Susan Wittig",3/95-- 6,6
Lavender Lies,"Albert, Susan Wittig",4/00-- 6,6
Bloodroot,"Albert, Susan Wittig",2/02-- 5,5
Safely Home,"Alcorn, Randy",1/02-- 7.8,7.8
Dominion,"Alcorn, Randy",9/97-- 7,7
Edge of Eternity,"Alcorn, Randy",3/99-- 7,7
Helliconia Spring,"Aldiss, Brian W.",No,
Last Orders,"Aldiss, Brian W.",no,
Encounter with Tiber,"Aldren, Buzz & John Brines",7/96-- 7,7
Pale Truth,"Alef, Daniel",3/01-- 7,7
Daddy's Home,"Alexander, A.K.",4/12-- 8.5,8.5
Person or Persons Unknown,"Alexander, Bruce",10/97-- 7.5,7.5
Watery Grave,"Alexander, Bruce",1/97-- 7,7
"Color of Death, The","Alexander, Bruce",12/00-- 6,6
Indian Killer,"Alexie, Sherman",4/98-- 7.8,7.8
Mammoth Stone,"Allan, Margaret",9/94-- 6,6
Hostage,"Allebeury, Ted",7/04-- 7.6,7.6
Rules of the Game,"Allebury, Ted",1/02-- 6,6
Parting Gifts,"Allen, Charlotte Vale",4/01-- 7.9,7.9
Mood Indigo,"Allen, Charlotte Vale",6/98-- 7,7
Somebody's Baby,"Allen, Charlotte Vale",12/96-- 7,7
Grace Notes,"Allen, Charlotte Vale",5/02-- 6,6
Murder on the Lusitania,"Allen, Conrad",5/00-- 7,7
Mauretania,"Allen, Conrad",1/01-- 6,6
murder on the Minnesota,"Allen, Conrad",2/02-- 6,6
Judge,"Allen, Dwight",11/03-- 7,7
Dinosaur Cat,"Allen, Garrison",7/98-- 7,7
Movie Cat,"Allen, Garrison",8/99-- 7,7
Ice Hotel,"Allen, Hanna",1/13-- 8.2,8.2
Play Money,"Allen, Philip",2/04-- 7,7
Inferno,"Allen, Roger MacBride",2/97-- 6,6
Utopia,"Allen, Roger MacBride",2/97-- 6,6
Murder in Hawaii,"Allen, Steve",1/99-- 8.1,8.1
Murder on the Atlantic,"Allen, Steve",9/95-- 6,6
Cavedweller,"Allison, Dorothy",3/98-- 7,7
Final Theory,"Alpert, Mark",10/08-- 9,9
"Loch, The","Alten, Steve",8/05-- 8,8
Meg,"Alten, Steve",10/97-- 8,8
Resurrection,"Alten, Steve",7/04-- 7.9,7.9
"Trench, The","Alten, Steve",7/99-- 7.8,7.8
"Shell Game, The","Alten, Steve",3/08-- 7.5,7.5
"Gathering of Spies, A","Altman, John",9/00-- 8,8
"Watchman, The","Altman, John",1/05-- 7.9,7.9
Deception,"Altman, John",11/03-- 7.5,7.5
"Game of Spies, A","Altman, John",3/02-- 7.4,7.4
Day of Atonement,"Alvarez, A.",8/98-- 7,7
Hunt,"Alvarez, A.",8/98-- 6,6
Lady Gold,"Amato, Angela & Joe Sharkey",8/98-- 7.4,7.4
Doubloon,"Amberg, Jay",1/03-- 8,8
Coincidence,"Ambrose, David",3/02-- 8.2,8.2
Superstition,"Ambrose, David",12/98-- 7.7,7.7
"Wake Up, Sir!","Ames, Jonathan",8/04-- 7,7
Yellow Dog,"Amis, Martin",2/04-- 6,6
Human Capital,"Amisdon, Stephen",10/04-- 7.2,7.2
Dead Wood,"Amore, Dani",2/12-- 9,9
"Garbage Collector, The","Amore, Dani",4/12-- 8,8
Scale of Justice,"Amore, Dani",4/12-- 8,8
To Find A Mountain,"Amore, Dani",4/12-- 8,8
